,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
4883,23689,A Hard Day's Night,560000,1537860,1585688
4884,7/29/2011,The Harvest/La Cosecha,560000,3709,3709
4885,12/31/2015,Julija in alfa Romeo,560000,0,8462
4886,12/31/1931,Mata Hari,558000,900000,900000
4887,29469,Friday the 13th,550000,39754601,59754601
4888,4/27/1984,Love Letters,550000,5269990,5269990
4889,41982,Faith Connections,550000,9111,9111
4890,41063,High Road,546173,0,0
4891,9/26/2008,Fireproof,500000,33456317,33473297
4892,11/15/1974,Benji,500000,31559560,31559560
4893,38146,Open Water,500000,30500882,55518641
4894,28126,Kingdom of the Spiders,500000,17000000,17000000
4895,5/13/2005,Mad Hot Ballroom,500000,8117961,9387581
4896,37690,The Station Agent,500000,5801558,9470209
4897,1/22/2010,To Save a Life,500000,3777210,3824868
4898,6/16/2006,Wordplay,500000,3121270,3177636
4899,10/22/1999,Beyond the Mat,500000,2047570,2047570
4900,37258,The Singles Ward,500000,1250798,1250798
4901,40762,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261
4902,1/30/2004,Osama,500000,1127331,1971479
4903,36775,Groove,500000,1115313,1167524
4904,1/31/2003,The R.M.,500000,1111615,1111615
4905,7/30/1999,Twin Falls Idaho,500000,985341,1027228
4906,8/20/2004,Mean Creek,500000,603951,1348750
4907,8/23/2013,Drinking Buddies,500000,343706,407100
4908,2/13/1998,Hurricane Streets,500000,334041,367582
4909,37597,Never Again,500000,307631,308793
4910,11/19/1956,Shichinin no samurai,500000,271736,271736
4911,8/29/2003,Civil Brand,500000,254293,254293
4912,10/29/2010,Monsters,500000,237301,5639730
4913,3/24/2006,Lonesome Jim,500000,154187,602789
4914,4/17/2013,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000,152449,152449
4915,9/28/2012,The Other Dream Team,500000,134109,314444
4916,40547,Rubber,500000,100370,680914
4917,33239,Johnny Suede,500000,55000,55000
4918,39212,Finishing the Game,500000,52850,53201
4919,4/18/2008,Kiss the Bride,500000,32033,32033
4920,37932,The Journey,500000,19800,19800
4921,4/23/2009,Home,500000,15433,44793168
4922,37895,The Slaughter Rule,500000,13134,13134
4923,5/14/2010,The Living Wake,500000,12232,12232
4924,2/27/2009,Scott Walker: 30 Century Man,500000,6840,77121
4925,10/21/2005,The Californians,500000,4134,4134
4926,41921,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,1822
4927,6/28/2013,Detention of the Dead,500000,1778,1778
4928,12/31/2006,Fengkuang de Shitou,500000,0,3000000
4929,41487,Now is Good,500000,0,2141436
4930,36933,Everything Put Together,500000,0,7890
4931,12/31/2010,Drones,500000,0,0
4932,40972,Enter Nowhere,500000,0,0
4933,7/17/2012,Girls Gone Dead,500000,0,0
4934,12/31/2005,Insomnia Manica,500000,0,0
4935,12/31/2014,America Is Still The Place,500000,0,0
4936,7/24/2015,The Outrageous Sophie Tucker,500000,0,0
4937,42280,Subconscious,500000,0,0
4938,4/14/2015,Roadside,500000,0,0
4939,12/31/2014,Diamond Rufff,500000,0,0
4940,42279,Love in the Time of Monsters,500000,0,0
4941,12/31/2012,El rey de Najayo,500000,0,0
4942,12/31/2014,Fight to the Finish,500000,0,0
4943,12/31/2013,Bucky and the Squirrels,500000,0,0
4944,12/31/1990,Going Under,500000,0,0
4945,6/23/2015,Crossroads,500000,0,0
4946,42316,Alleluia! The Devil's Carnival,500000,0,0
4947,42016,Brooklyn Bizarre,500000,0,0
4948,12/31/2016,Crabs!,500000,0,0
4949,12/31/2014,The Sound and the Shadow,500000,0,0
4950,12/31/2015,Rodeo Girl,500000,0,0
4951,42288,The Little Ponderosa Zoo,500000,0,0
4952,12/31/1984,The Toxic Avenger,475000,0,0
4953,9/25/2009,Paranormal Activity,450000,107918810,194183034
4954,33239,Straight out of Brooklyn,450000,2712293,2712293
4955,3/31/2006,Brick,450000,2075743,4243996
4956,8/22/1997,Sunday,450000,410919,450349
4957,39029,Conversations with Other Women,450000,379418,1297745
4958,11/20/2015,Siakh lokhamim: ha'slilim ha'gnouzim,450000,41260,42503
4959,39696,Poultrygeist: Night of the Chicken Dead,450000,13804,22623
4960,41950,As It Is in Heaven,450000,13486,13486
4961,41646,Mutual Friends,450000,0,0
4962,12/31/2014,Rise Of the Entrepreneur - The Search For A Better Way,450000,0,0
4963,12300,42nd Street,439000,1438000,2281000
4964,32940,Metropolitan,430000,2938000,2938000
4965,1/21/2005,Gory Gory Hallelujah,425000,12604,12604
4966,4/25/2014,Blue Ruin,420000,258384,435168
4967,38297,Napoleon Dynamite,400000,44540956,46122713
4968,27672,Monty Python and the Holy Grail,400000,3427696,5028948
4969,38756,Quinceanera,400000,1692693,2797199
4970,4/26/2002,Dogtown and Z-Boys,400000,1293295,1600566
4971,10/24/2008,Heroes,400000,655538,655538
4972,38148,Tarnation,400000,592014,1162014
4973,10/15/2010,I Want Your Money,400000,433588,433588
4974,30317,E tu vivrai nel terrore - L'aldilà,400000,126387,126387
4975,5/16/1980,Home Movies,400000,89134,89134
4976,7/27/2001,Jackpot,400000,44452,44452
4977,38272,Fabled,400000,31425,31425
4978,10/13/2005,The Dark Hours,400000,423,423
4979,31416,My Beautiful Laundrette,400000,0,0
4980,38453,Show Me,400000,0,0
4981,12/31/2014,Pancakes,400000,0,0
4982,3/31/2015,Viskningar och rop,400000,0,0
4983,5974,Intolerance,385907,0,0
4984,10595,The Broadway Melody,379000,2800000,4358000
4985,4/15/1983,The Evil Dead,375000,2400000,29400000
4986,5/21/1999,Trekkies,375000,617172,617172
4987,29221,Maniac,350000,10000000,10000000
4988,31778,American Ninja 2: The Confrontation,350000,4000000,4000000
4989,38571,Murderball,350000,1531154,1772979
4990,40187,My Dog Tulip,350000,246574,310891
4991,10/18/2006,51 Birch Street,350000,84689,84689
4992,11/15/2002,Revolution#9,350000,9118,9118
4993,40090,Royal Kill,350000,0,0
4994,10/20/2015,Rotor DR1,350000,0,0
4995,4/13/1957,12 Angry Men,340000,0,0
4996,10/17/1978,Halloween,325000,47000000,70000000
4997,12420,It Happened One Night,325000,2500000,2500000
4998,6/25/2010,Dogtooth,323000,110248,1373407
4999,11/24/1999,Tumbleweeds,312000,1350248,1788168
5000,11/14/2003,Tupac Resurrection,300000,7718961,7808524
5001,36802,God's Army,300000,2637726,2652515
5002,10/17/2003,Pieces of April,300000,2528664,3571253
5003,9/20/1996,When The Cat's Away,300000,1652472,2525984
5004,39733,Wendy and Lucy,300000,865695,1416046
5005,36108,Let's Talk About Sex,300000,373615,373615
5006,8/25/2006,Old Joy,300000,255923,399908
5007,7/15/2005,First Morning,300000,87264,87264
5008,6/15/2007,Pierrot le fou,300000,70807,70807
5009,40850,3 Backyards,300000,39475,39475
5010,39055,Sisters in Law,300000,33312,33312
5011,41163,Nothing But a Man,300000,17241,17241
5012,7/19/2002,Ayurveda: Art of Being,300000,16892,2066892
5013,35984,"First Love, Last Rites",300000,10876,10876
5014,38508,Fighting Tommy Riley,300000,10514,10514
5015,3/28/2014,Locker 13,300000,3496,3496
5016,10/23/2015,The Looking Glass,300000,1711,1711
5017,10/31/2014,All You Need Is Love,300000,0,177507
5018,27398,Death Race 2000,300000,0,0
5019,40975,Some Guy Who Kills People,300000,0,0
5020,41463,Midnight Cabaret,300000,0,0
5021,42280,Teeth and Blood,300000,0,0
5022,12/31/2015,Walking to Paris,300000,0,0
5023,12/31/2010,Anderson's Cross,300000,0,0
5024,42228,Amidst the Devil's Wings,300000,0,0
5025,12/31/2010,Death Calls,290000,0,0
5026,8/17/2012,Compliance,270000,319285,830700
5027,29591,Graduation Day,250000,23894000,23894000
5028,35524,Chasing Amy,250000,12006514,15155095
5029,6/28/2002,Lovely and Amazing,250000,4210379,4613482
5030,37929,Better Luck Tomorrow,250000,3802390,3809226
5031,10/28/2011,Like Crazy,250000,3395391,3731489
5032,6/16/1995,The Incredibly True Adventure of Two Girls in Love,250000,2210408,2477155
5033,7/14/2000,Chuck&Buck,250000,1055671,1157672
5034,3/16/2001,American Desi,250000,902835,1366235
5035,36108,Cube,250000,489220,8969065
5036,3/28/1997,Love and Other Catastrophes,250000,212285,743216
5037,8/28/1998,I Married a Strange Person,250000,203134,203134
5038,7/22/2005,November,250000,191862,191862
5039,9/17/1999,Sugar Town,250000,178095,178095
5040,3/28/2008,Happy Valley,250000,67665,67665
5041,41313,The Canyons,250000,59671,62375
5042,6/28/2006,The Motel,250000,51540,51540
5043,7/15/2005,On the Outs,250000,49772,237816
5044,12/14/2007,Shotgun Stories,250000,46026,284174
5045,41796,Test,250000,18823,18823
5046,36373,Sticky Fingers of Time,250000,18195,20628
5047,8/15/2014,Night Lights,250000,12848,12848
5048,3/24/2015,Along the Roadside,250000,0,3234
5049,10/21/2008,Sunday School Musical,250000,0,0
5050,40308,Rust,250000,0,0
5051,12/31/2010,The Christmas Bunny,250000,0,0
5052,40097,Ink,250000,0,0
