,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
1,12/18/2009,Avatar,425000000,760507625,2783918982
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2058662225
3,5/24/2007,Pirates of the Caribbean: At World's End,300000000,309420425,963420425
4,42166,Spectre,300000000,200074175,879620923
5,7/20/2012,The Dark Knight Rises,275000000,448139099,1084439099
6,41312,The Lone Ranger,275000000,89302115,260002115
7,41155,John Carter,275000000,73058679,282778100
8,11/24/2010,Tangled,260000000,200821936,586581936
9,39177,Spider-Man 3,258000000,336530303,890875303
10,42009,Avengers: Age of Ultron,250000000,459005868,1404705868
11,42526,Captain America: Civil War,250000000,408084349,1151684349
12,3/25/2016,Batman v Superman: Dawn of Justice,250000000,330360194,868160194
13,12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568
14,7/15/2009,Harry Potter and the Half-Blood Prince,250000000,301959197,935083686
15,12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855
16,12/17/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,955119788
17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,241063875,1045663875
18,6/28/2006,Superman Returns,232000000,200120000,374085065
19,11/14/2008,Quantum of Solace,230000000,169368427,591692078
20,41004,The Avengers,225000000,623279547,1519479547
21,38905,Pirates of the Caribbean: Dead Man's Chest,225000000,423315812,1066215812
22,6/14/2013,Man of Steel,225000000,291045518,667999518
23,5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
24,40975,The Amazing Spider-Man,220000000,262030663,757890267
25,42344,Jurassic World,215000000,652198010,1670328025
26,5/25/2012,Men in Black 3,215000000,179020854,654213485
27,6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699
28,6/27/2014,Transformers: Age of Extinction,210000000,245439076,1104039076
29,5/26/2006,X-Men: The Last Stand,210000000,234362462,459359555
30,5/14/2010,Robin Hood,210000000,105269730,322241588
31,5/18/2012,Battleship,209000000,65233400,305218228
32,12/14/2005,King Kong,207000000,218080025,550517357
33,39094,The Golden Compass,205000000,70107728,367262558
34,12/19/1997,Titanic,200000000,658672302,2207615668
35,6/17/2016,Finding Dory,200000000,484393217,985193217
36,6/18/2010,Toy Story 3,200000000,415004880,1069818229
37,41338,Iron Man 3,200000000,408992272,1215392272
38,6/30/2004,Spider-Man 2,200000000,373524485,783705001
39,40301,Alice in Wonderland,200000000,334191110,1025491110
40,41132,Skyfall,200000000,304360277,1110526981
41,6/21/2013,Monsters University,200000000,268488329,743588329
42,41489,Oz the Great and Powerful,200000000,234770996,490359051
43,5/23/2014,X-Men: Days of Future Past,200000000,233921534,747862775
44,41675,The Amazing Spider-Man 2,200000000,202853933,708996336
45,6/24/2011,Cars 2,200000000,191450875,560155383
46,12/17/2010,Tron: Legacy,200000000,172062763,397562763
47,11/13/2009,2012,200000000,166112167,788408539
48,5/21/2009,Terminator Salvation,200000000,125322469,365491792
49,6/17/2011,Green Lantern,200000000,116601172,231201172
50,5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,314594597
51,6/29/2011,Transformers: Dark of the Moon,195000000,352390543,1123790543
52,41277,Jack the Giant Slayer,195000000,65187603,197687603
53,42067,Furious 7,190000000,351032910,1514019071
54,5/15/2013,Star Trek Into Darkness,190000000,228778661,467381584
55,6/21/2013,World War Z,190000000,202359711,531514650
56,41552,The Great Gatsby,190000000,144840419,351040419
57,39975,Disney's A Christmas Carol,190000000,137855863,315709697
58,41615,Pacific Rim,190000000,101802906,411002906
59,11/25/2015,The Good Dinosaur,187500000,123087120,334354269
60,39483,Iron Man,186000000,318604126,582443126
61,7/18/2008,The Dark Knight,185000000,533345358,1002891358
62,5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317023851,786558145
63,6/22/2012,Brave,185000000,237282182,554606532
64,7/22/2016,Star Trek Beyond,185000000,158430161,336230161
65,38607,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572
66,5/30/2014,Maleficent,180000000,241407328,758536735
67,6/27/2008,WALL-E,180000000,223808164,532590994
68,39363,Rush Hour 3,180000000,140125968,256585882
69,42376,The Legend of Tarzan,180000000,126643061,349143061
70,11/23/2011,Hugo,180000000,73864507,180047784
71,7/21/2017,Valerian and the City of a Thousand Planets,180000000,0,0
72,42157,Jupiter Ascending,179000000,47482519,181982519
73,5/27/2016,X-Men: Apocalypse,178000000,155442489,542742489
74,41796,Edge of Tomorrow,178000000,100206256,364406256
75,4/15/2016,The Jungle Book,175000000,364001123,963901123
76,6/19/2015,Inside Out,175000000,356461711,853923085
77,42498,Suicide Squad,175000000,320857912,734457912
78,5/29/2009,Up,175000000,293004164,731542621
79,3/27/2009,Monsters vs. Aliens,175000000,198351526,381687380
80,40002,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
81,6/30/1999,Wild Wild West,175000000,113805681,221229335
82,39455,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
83,6/22/2007,Evan Almighty,175000000,100289690,174131329
84,7/28/1995,Waterworld,175000000,88246220,264246220
85,12/25/2013,47 Ronin,175000000,38362475,151659062
86,12/31/2020,Singularity,175000000,0,0
87,41647,Guardians of the Galaxy,170000000,333172112,771172112
88,40364,Iron Man 2,170000000,312433331,623561331
89,41733,Captain America: The Winter Soldier,170000000,259746958,714401889
90,41950,Dawn of the Planet of the Apes,170000000,208545589,703545589
91,38271,The Polar Express,170000000,194949659,319090241
92,40914,Snow White and the Huntsman,170000000,155136755,401016924
93,37628,Terminator 3: Rise of the Machines,170000000,150358296,433058296
94,38173,Van Helsing,170000000,120150546,300150546
95,5/22/2015,Tomorrowland,170000000,93436322,205336322
96,5/27/2016,Alice Through the Looking Glass,170000000,77042381,277442381
97,5/21/2010,Shrek Forever After,165000000,238736787,756244673
98,41831,Big Hero 6,165000000,222527828,652127828
99,3/26/2010,How to Train Your Dragon,165000000,217581231,494870991
100,40950,Wreck-It Ralph,165000000,189412677,496511521
101,41770,Interstellar,165000000,188017894,665417894
102,6/24/2016,Independence Day: Resurgence,165000000,103144286,387644286
103,7/29/2011,Cowboys and Aliens,163000000,100240551,175910315
104,5/17/2007,Shrek the Third,160000000,322719944,807330936
105,7/16/2010,Inception,160000000,292576195,832584416
106,11/20/2015,The Hunger Games: Mockingjay - Part 2,160000000,281723902,650523427
107,5/24/2013,Fast and Furious 6,160000000,238679850,789952811
108,5/16/2014,Godzilla,160000000,200676069,529076069
109,40608,X-Men: First Class,160000000,146408305,355408305
110,12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329809326
111,7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320
112,39056,Poseidon,160000000,60674817,181674817
113,42649,Warcraft,160000000,47225655,433125655
114,9/30/2016,Deepwater Horizon,156000000,20600000,33000000
115,40463,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950
116,42011,Terminator: Genisys,155000000,89760956,440160956
117,11/24/2004,Alexander,155000000,34297191,167297191
118,5/25/2001,Pearl Harbor,151500000,198539855,449239855
119,39120,Transformers,151000000,319246193,708272592
120,11/22/2013,Frozen,150000000,400738009,1274234980
121,42463,Zootopia,150000000,341268248,1021768248
122,39393,Harry Potter and the Order of the Phoenix,150000000,292004738,942943935
123,11/18/2005,Harry Potter and the Goblet of Fire,150000000,290013036,896911078
124,5/15/2003,The Matrix Reloaded,150000000,281553689,738576929
125,12/14/2007,I am Legend,150000000,256393010,585532684
126,39454,Hancock,150000000,227946274,624234272
127,7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484
128,6/29/2007,Ratatouille,150000000,206445654,626549695
129,41497,Thor: The Dark World,150000000,206362140,644602516
130,6/15/2005,Batman Begins,150000000,205343774,359142722
131,7/31/2015,Mission: Impossible - Rogue Nation,150000000,195042377,700868363
132,40699,Thor,150000000,181030624,449326618
133,39640,Madagascar: Escape 2 Africa,150000000,180010950,599516844
134,39818,X-Men Origins: Wolverine,150000000,179883157,374825760
135,5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
136,5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547
137,5/15/2015,Mad Max: Fury Road,150000000,153636354,373136354
138,37752,The Matrix Revolutions,150000000,139270910,427300260
139,38842,Mission: Impossible III,150000000,133501348,397501348
140,5/15/2009,Angels & Demons,150000000,133375846,490875846
141,5/14/2004,Troy,150000000,133298577,484161265
142,40185,The Last Airbender,150000000,131772187,319713881
143,39124,Bee Movie,150000000,126631277,287594577
144,7/24/2009,G-Force,150000000,119436770,292817841
145,11/21/2008,Bolt,150000000,114053759,328015209
146,3/30/2012,Wrath of the Titans,150000000,83670083,305270083
147,11/16/2007,Beowulf,150000000,82195215,194995215
148,41218,Dark Shadows,150000000,79727149,238202668
149,6/28/2013,White House Down,150000000,73103784,205440387
150,40514,The Wolfman,150000000,62189884,142634358
151,42257,Pan,150000000,35088320,123888320
152,40850,Mars Needs Moms,150000000,21392758,39549758
153,12/21/2016,Passengers,150000000,0,0
154,38787,Flushed Away,149000000,64665672,179357126
155,41127,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271
156,12/16/2011,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230
157,6/13/2014,How to Train Your Dragon 2,145000000,177002924,616102924
158,6/16/1999,Tarzan,145000000,171091819,448191819
159,41823,Mr. Peabody & Sherman,145000000,111506430,269806430
160,11/21/2012,Rise of the Guardians,145000000,103412758,306900902
161,38568,Sahara,145000000,68671925,121671925
162,7/15/2016,Ghostbusters,144000000,127711314,228308458
163,11/22/2002,Die Another Day,142000000,160942139,431942139
164,40030,Star Trek,140000000,257730019,385680446
165,35802,Armageddon,140000000,201578182,554600000
166,37322,Men in Black 2,140000000,190418803,441767803
167,7/22/2011,Captain America: The First Avenger,140000000,176654505,370569776
168,1/29/2016,Kung Fu Panda 3,140000000,143528619,518628619
169,36075,Lethal Weapon 4,140000000,130444603,285400000
170,3/27/2013,G.I. Joe: Retaliation,140000000,122523060,375740705
171,37753,The Last Samurai,140000000,111110575,456810575
172,12/21/2005,Fun With Dick And Jane,140000000,110550000,203018919
173,41985,Exodus: Gods and Kings,140000000,65014513,268314513
174,42376,The BFG,140000000,55436714,147586714
175,2/26/2016,Gods of Egypt,140000000,31153464,133553464
176,37320,Spider-Man,139000000,403706375,821706375
177,39967,Watchmen,138000000,107509799,184068357
178,7/29/2005,Stealth,138000000,32116746,76416746
179,6/13/2008,The Incredible Hulk,137500000,134806913,263417913
180,6/20/2003,Hulk,137000000,132177234,245229234
181,37202,Final Fantasy: The Spirits Within,137000000,32131830,85131830
182,11/16/2012,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737
183,40918,The Croods,135000000,187168425,573068425
184,12/25/2015,The Revenant,135000000,183637894,532950503
185,11/19/1999,The World is Not Enough,135000000,126930660,361730660
186,40636,Rango,135000000,123257581,245504574
187,11/14/2003,Master and Commander: The Far Side of the World,135000000,93926386,212912137
188,7/17/2013,Turbo,135000000,83028130,286896578
189,42435,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,244451601
190,11/18/2011,Happy Feet Two,135000000,64006466,157956466
191,7/28/2006,Miami Vice,135000000,63478838,163818556
192,6/29/2005,War of the Worlds,132000000,234280354,606836535
193,11/26/2014,Penguins of Madagascar,132000000,83350911,367650911
194,11/22/2013,The Hunger Games: Catching Fire,130000000,424668047,864868047
195,38083,Harry Potter and the Prisoner of Azkaban,130000000,249538952,796688549
196,39149,The Bourne Ultimatum,130000000,227471070,442161562
197,39605,Kung Fu Panda,130000000,215434591,631910531
198,7/17/2015,Ant-Man,130000000,180202163,518602163
199,3/27/2015,Home,130000000,177397510,386085953
200,10/28/2011,Puss in Boots,130000000,149260504,554987477
201,40309,Megamind,130000000,148415853,321887208
202,7/18/2003,Bad Boys II,130000000,138540870,273271982
203,41947,Rio 2,130000000,131538435,493738435
204,7/23/2010,Salt,130000000,118311368,290650494
205,3/28/2014,Noah,130000000,101200044,352831065
206,12/21/2011,The Adventures of Tintin,130000000,77591831,373993951
207,5/31/2013,After Earth,130000000,60522097,251499665
208,11/26/2008,Australia,130000000,49554002,215080810
209,7/19/2013,R.I.P.D.,130000000,33618855,79072464
210,11/18/2011,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,689420051
211,5/19/2000,Dinosaur,127500000,137748063,356148063
212,12/19/2014,Night at the Museum: Secret of the Tomb,127000000,113746621,356546621
213,7/15/2011,Harry Potter and the Deathly Hallows: Part II,125000000,381011219,1341511219
214,11/21/2014,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766652288
215,11/16/2001,Harry Potter and the Sorcerer’s Stone,125000000,317575550,974755371
216,37871,Pirates of the Caribbean: The Curse of the Black Pearl,125000000,305411224,634954103
217,11/19/2010,Harry Potter and the Deathly Hallows: Part I,125000000,295983305,960283305
218,5/19/2006,The Da Vinci Code,125000000,217536138,767820459
219,37657,X2,125000000,214949694,407711549
220,4/29/2011,Fast Five,125000000,209837675,629969804
221,41859,Teenage Mutant Ninja Turtles,125000000,191204754,485004754
222,12/16/2011,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443
223,5/28/2004,The Day After Tomorrow,125000000,186740799,556319450
224,40182,Clash of the Titans,125000000,163214888,493214888
225,5/19/1998,Godzilla,125000000,136314294,376000000
226,41127,Prometheus,125000000,126477084,399005706
227,41190,The Bourne Legacy,125000000,113203870,280355920
228,6/20/1997,Batman & Robin,125000000,107325195,238317814
229,40976,Total Recall,125000000,58877969,211856088
230,8/27/1999,The 13th Warrior,125000000,32698899,61698899
231,11/17/2000,How the Grinch Stole Christmas,123000000,260044825,345141403
232,5/24/2000,Mission: Impossible 2,120000000,215409889,549588516
233,6/30/2000,The Perfect Storm,120000000,182618434,328711434
234,7/29/2016,Jason Bourne,120000000,161704965,399104965
235,6/15/2007,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,288215319
236,11/21/2012,Life of Pi,120000000,124987022,607987022
237,2/16/2007,Ghost Rider,120000000,115802596,229545589
238,6/27/2003,Charlie's Angels: Full Throttle,120000000,100814328,227200000
239,41525,Elysium,120000000,93050117,286192091
240,4/19/2013,Oblivion,120000000,89107235,287916633
241,7/19/2002,Stuart Little 2,120000000,64956806,166000000
242,41975,RoboCop,120000000,58607007,242981799
243,38297,The Chronicles of Riddick,120000000,57712751,107212751
244,42193,Fantastic Four,120000000,56117548,167117548
245,39696,Speed Racer,120000000,43945766,93394462
246,7/22/2005,The Island,120000000,35818913,163018913
247,12/17/2010,How Do You Know?,120000000,30212620,49628177
248,42471,Trolls,120000000,0,0
249,6/23/2010,Knight and Day,117000000,76423035,258751370
250,5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677
251,5/19/2005,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877
252,5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615
253,36933,"Monsters, Inc.",115000000,289423425,559757719
254,7/26/2013,The Wolverine,115000000,132556852,416456852
255,35613,Dante's Peak,115000000,67163857,178200000
256,4/22/2016,The Huntsman: Winter’s War,115000000,48003015,164602163
257,6/14/2002,Windtalkers,115000000,40914068,77628265
258,39545,Astérix aux Jeux Olympiques,113500000,999811,132999811
259,12/25/2010,Gulliver's Travels,112000000,42779261,232017848
260,41374,Gravity,110000000,274092705,716392705
261,12/22/2006,Night at the Museum,110000000,250863268,579446407
262,38631,Mr. and Mrs. Smith,110000000,186336279,486124090
263,5/29/2015,San Andreas,110000000,155190832,469590832
264,7/29/2011,The Smurfs,110000000,142614158,563749323
265,6/27/2007,Live Free or Die Hard,110000000,134529403,382288147
266,3/20/2015,The Divergent Series: Insurgent,110000000,130179072,295279072
267,38272,Ocean's Twelve,110000000,125531634,362989076
268,12/19/1997,Tomorrow Never Dies,110000000,125304276,339504276
269,6/28/2000,The Patriot,110000000,113330342,215300000
270,41823,300: Rise of an Empire,110000000,106580051,330780051
271,12/17/2004,The Aviator,110000000,102608827,208370892
272,1/14/2011,The Green Hornet,110000000,98780042,229155503
273,40734,Real Steel,110000000,85463309,263880341
274,40488,The A-Team,110000000,77222099,177241171
275,7/31/2013,The Smurfs 2,110000000,71017784,348547523
276,3/18/2016,The Divergent Series: Allegiant,110000000,66184051,171484051
277,40153,The Taking of Pelham 123,110000000,65452312,152364370
278,41285,Ender's Game,110000000,61737191,89737191
279,38021,Home on the Range,110000000,50026353,76482461
280,6/13/1997,Speed 2: Cruise Control,110000000,48097081,150468000
281,38508,Kingdom of Heaven,110000000,47398413,218853353
282,9/30/2016,Miss Peregrine’s Home for Peculiar Children,110000000,28871140,65371140
283,6/16/2004,Around the World in 80 Days,110000000,24004159,72004159
284,12/19/2001,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887217688
285,11/21/2003,The Cat in the Hat,109000000,101018283,133818283
286,12/25/2001,Ali,109000000,58183966,87683966
287,42045,The Martian,108000000,228433663,640055863
288,7/16/2004,"I, Robot",105000000,144801023,348629585
289,12/17/1999,Stuart Little,105000000,140015224,298815224
290,11/25/2009,The Princess and the Frog,105000000,104400899,270997378
291,39632,"10,000 B.C.",105000000,94784201,269065678
292,7/22/2016,Ice Age: Collision Course,105000000,63839122,403839122
293,4/27/2001,Town & Country,105000000,6712451,10364769
294,36775,Gone in 60 Seconds,103300000,101643008,232643008
295,36651,Gladiator,103000000,187683805,457683805
296,5/23/2013,The Hangover 3,103000000,112200072,362000072
297,39820,Public Enemies,102500000,97104620,212282709
298,11/17/2006,Casino Royale,102000000,167365000,594420283
299,6/21/2002,Minority Report,102000000,132024714,358824714
300,10/26/2012,Cloud Atlas,102000000,27108272,130673154
301,11/15/2002,Harry Potter and the Chamber of Secrets,100000000,261987880,878979634
302,33276,Terminator 2: Judgment Day,100000000,201858746,513815401
303,6/16/1995,Batman Forever,100000000,184031112,336529144
304,7/27/2001,Planet of the Apes,100000000,180011740,362211740
305,11/19/2004,National Treasure,100000000,173005002,331323410
306,12/25/2012,Django Unchained,100000000,162805434,449948323
307,12/22/2010,Little Fockers,100000000,148438600,310650574
308,7/15/1994,True Lies,100000000,146282411,365300000
309,39124,American Gangster,100000000,130164645,267985456
310,9/18/2009,Cloudy with a Chance of Meatballs,100000000,124870275,236827677
311,40337,The Other Guys,100000000,119219978,170936470
312,12/17/2004,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024
313,12/25/2013,The Wolf of Wall Street,100000000,116900694,391976723
314,5/24/2013,Epic,100000000,107518682,262794441
315,6/21/1996,Eraser,100000000,101295562,234400000
316,6/21/1996,The Hunchback of Notre Dame,100000000,100138851,325500000
317,12/15/2000,The Emperor's New Groove,100000000,89296573,169296573
318,8/17/2012,The Expendables 2,100000000,85028192,311979256
319,10/16/2009,Where the Wild Things Are,100000000,77233467,99123656
320,12/15/2006,Eragon,100000000,75030163,249488115
321,7/25/2014,Hercules,100000000,72688614,243388614
322,40463,The Tourist,100000000,67631157,278731369
323,11/24/1999,End of Days,100000000,66889043,212026975
324,38297,The Stepford Wives,100000000,59475623,96221971
325,39300,Surf's Up,100000000,58867694,145395745
326,38941,Blood Diamond,100000000,57377916,171377916
327,9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717
328,35622,Starship Troopers,100000000,54768952,121100000
329,39939,Land of the Lost,100000000,49438370,69548641
330,12/25/2003,Peter Pan,100000000,48417850,95255485
331,7/23/2004,Catwoman,100000000,40202379,82145379
332,8/15/2014,The Expendables 3,100000000,39322544,209461378
333,11/27/2002,Treasure Planet,100000000,38120554,91800000
334,40515,Green Zone,100000000,35497337,97523020
335,12/25/2015,Point Break,100000000,28782481,128131571
336,42320,In the Heart of the Sea,100000000,25020758,90420758
337,4/18/2014,Transcendence,100000000,23022309,103039258
338,2/18/2005,Son of the Mask,100000000,17018422,59918422
339,35858,The Spanish Prisoner,100000000,10162034,13835130
340,8/16/2002,The Adventures of Pluto Nash,100000000,4411102,7094995
341,12/21/2011,Jin líng shí san chai,100000000,311434,93721434
342,42166,The Peanuts Movie,99000000,130178411,244778411
343,36986,The Mummy Returns,98000000,202007640,435040395
344,12/20/2002,Gangs of New York,97000000,77730500,183124621
345,10/21/2016,Jack Reacher: Never Go Back,96000000,0,0
346,3/13/2015,Cinderella,95000000,201151353,534551353
347,7/13/2012,Ice Age: Continental Drift,95000000,161321843,879765137
348,12/28/2001,Black Hawk Down,95000000,108638745,159691085
349,5/27/2010,Sex and the City 2,95000000,95347692,294680778
350,40514,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
351,41190,The Campaign,95000000,86907746,104907746
352,40523,Unstoppable,95000000,81562942,169511609
353,35678,The Fifth Element,95000000,63570862,263900000
354,3/31/2000,The Road to El Dorado,95000000,50802661,65700000
355,40129,The Lovely Bones,95000000,44114232,94894448
356,8/19/2016,Ben-Hur,95000000,26384681,89284681
357,42157,Seventh Son,95000000,17223265,110623265
358,5/30/2003,Finding Nemo,94000000,380529370,936429370
359,12/17/2003,The Lord of the Rings: The Return of the King,94000000,377845905,1141408667
360,12/18/2002,The Lord of the Rings: The Two Towers,94000000,342548984,934703179
361,6/15/2001,Lara Croft: Tomb Raider,94000000,131144183,273330185
362,2/13/2015,Kingsman: The Secret Service,94000000,128261724,404561724
363,7/18/2001,Jurassic Park III,93000000,181166115,365900000
364,40671,Rise of the Planet of the Apes,93000000,176760185,482860185
365,2/14/2008,The Spiderwick Chronicles,92500000,71195053,162839667
366,38118,The Incredibles,92000000,261441092,614726752
367,2/14/2013,A Good Day to Die Hard,92000000,67349198,304249198
368,38234,The Alamo,92000000,22406362,23911362
369,12/22/1995,Cutthroat Island,92000000,10017322,18517322
370,12/25/2013,The Secret Life of Walter Mitty,91000000,58236838,188536838
371,35437,Men in Black,90000000,250690539,587790539
372,11/19/1999,Toy Story 2,90000000,245852179,511358276
373,36958,Rush Hour 2,90000000,226164286,347425832
374,12/25/2009,Sherlock Holmes,90000000,209028679,498438212
375,39820,Ice Age: Dawn of the Dinosaurs,90000000,196573705,859701857
376,7/21/2000,What Lies Beneath,90000000,155464351,288693989
377,4/15/2011,Rio,90000000,143619809,487519809
378,38878,The Departed,90000000,132384315,289660619
379,36596,Charlie's Angels,90000000,125305545,259736090
380,6/19/1998,Mulan,90000000,120620254,303500000
381,8/13/2008,Tropic Thunder,90000000,110461307,191091250
382,12/20/2011,The Girl with the Dragon Tattoo,90000000,102515793,239373970
383,35741,Contact,90000000,100920329,165900000
384,39605,You Don't Mess With the Zohan,90000000,100018837,202910991
385,5/19/1995,Die Hard: With a Vengeance,90000000,100012499,366101666
386,12/18/2015,Alvin and the Chipmunks: The Road Chip,90000000,85886987,235296080
387,37109,Atlantis: The Lost Empire,90000000,84052762,186049020
388,12/25/2008,Valkyrie,90000000,83077762,203902107
389,7/24/2015,Pixels,90000000,78747585,244126300
390,6/29/2001,Artificial Intelligence: AI,90000000,78616689,235900000
391,11/26/2003,The Haunted Mansion,90000000,75817994,155750628
392,36624,Hollow Man,90000000,73209340,191200000
393,4/22/2005,The Interpreter,90000000,72708161,162753837
394,41463,Percy Jackson: Sea of Monsters,90000000,68559554,200859554
395,7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,157092943
396,42649,Now You See Me 2,90000000,65075540,328675540
397,11/21/2001,Spy Game,90000000,62362560,143049560
398,9/23/2016,The Magnificent Seven,90000000,61532784,108032784
399,35524,The Saint,90000000,61363304,169400000
400,36802,Mission to Mars,90000000,60874615,106000000
401,12/17/1999,Bicentennial Man,90000000,58220776,87420776
402,38175,King Arthur,90000000,51877963,203877963
403,4/25/1997,Volcano,90000000,47546796,120100000
404,3/26/1997,The Devil's Own,90000000,42885593,140900000
405,7/19/2002,K-19: The Widowmaker,90000000,35168966,65716126
406,8/19/2011,Conan the Barbarian,90000000,21295021,63356133
407,10/21/2011,The Three Musketeers,90000000,20377913,139877913
408,11/24/2010,The Nutcracker in 3D,90000000,195459,20466016
409,35343,Twister,88000000,241688385,495700000
410,38417,Cinderella Man,88000000,61649911,105021488
411,38571,Fantastic Four,87500000,154696080,330717080
412,37136,Hannibal,87000000,165092266,350100280
413,7/25/2003,Seabiscuit,86000000,120277854,148715342
414,12/22/2000,Cast Away,85000000,233632142,427230516
415,11/17/2006,Happy Feet,85000000,198000317,385000317
416,37084,Ocean's Eleven,85000000,183417150,450728529
417,7/23/2004,The Bourne Supremacy,85000000,176087450,288587450
418,7/25/1997,Air Force One,85000000,172956409,315268353
419,39876,Fast & Furious,85000000,155064265,363064265
420,3/14/2008,Horton Hears a Who,85000000,154529439,299477886
421,3/21/2014,Divergent,85000000,150947895,276014965
422,9/28/2012,Hotel Transylvania,85000000,148313048,378505812
423,11/21/2007,Enchanted,85000000,127706877,340384141
424,41184,Safe House,85000000,126181630,208542162
425,7/20/2007,I Now Pronounce You Chuck and Larry,85000000,119725280,185708462
426,39300,Ocean's Thirteen,85000000,117144465,311744465
427,12/25/2009,It's Complicated,85000000,112735375,224614744
428,11/20/1998,Enemy of the State,85000000,111549836,250649836
429,9/29/2006,Open Season,85000000,85105259,191932158
430,40644,Tower Heist,85000000,78046570,153487972
431,11/22/2000,102 Dalmatians,85000000,66941559,66941559
432,3/30/2012,Mirror Mirror,85000000,64935167,173613482
433,38941,The Holiday,85000000,63280000,205190324
434,6/16/2006,The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205
435,38607,Memoirs of a Geisha,85000000,57010853,161510853
436,3/16/2001,Enemy at the Gates,85000000,51396781,96971293
437,6/18/1993,Last Action Hero,85000000,50016394,137298489
438,9/26/2003,The Rundown,85000000,47641743,80831893
439,11/23/2011,Arthur Christmas,85000000,46462469,149717124
440,7/30/2010,Cats & Dogs: The Revenge of Kitty Galore,85000000,45539292,114979922
441,11/13/1998,Meet Joe Black,85000000,44650003,44650003
442,37470,Collateral Damage,85000000,40048332,78353508
443,3/15/2002,Showtime,85000000,37948765,78948765
444,6/30/1995,Judge Dredd,85000000,34687912,113487912
445,39116,Zodiac,85000000,33080084,83080084
446,8/13/2010,Scott Pilgrim vs. The World,85000000,31611316,48056764
447,3/28/2003,The Core,85000000,31111260,74132631
448,35678,Father's Day,85000000,28681080,35681080
449,6/14/2002,Scooby-Doo,84000000,153294164,276294164
450,7/28/2000,Nutty Professor II: The Klumps,84000000,123307945,166307945
451,7/19/2013,RED 2,84000000,53262560,137162560
452,6/23/2006,Click,82500000,137355633,237685089
453,12/15/2006,Charlotte's Web,82500000,82985708,143985708
454,2/14/2008,Jumper,82500000,81168265,223636949
455,39759,Hellboy II: The Golden Army,82500000,75986503,160388063
456,5/27/2005,The Longest Yard,82000000,158119460,190320568
457,8/13/2010,The Expendables,82000000,103068524,268268174
458,11/17/2000,The 6th Day,82000000,34543701,96024898
459,5/23/2003,Bruce Almighty,81000000,242704995,483473962
460,3/23/2012,The Hunger Games,80000000,408010692,677923379
461,5/26/2011,The Hangover Part II,80000000,254464305,586464305
462,5/21/1996,Mission: Impossible,80000000,180981886,457697994
463,9/25/2015,Hotel Transylvania 2,80000000,169700110,470909901
464,6/18/1992,Batman Returns,80000000,162833635,266824291
465,36346,The Mummy,80000000,155385488,416385488
466,5/19/2006,Over the Hedge,80000000,155019340,343397247
467,6/21/2002,Lilo & Stitch,80000000,145771527,245800000
468,36012,Deep Impact,80000000,140464664,349464664
469,41615,Grown Ups 2,80000000,133668525,247023808
470,12/16/2011,Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523
471,6/20/2008,Get Smart,80000000,130319208,226739416
472,38659,Robots,80000000,128200012,260700012
473,2/19/2010,Shutter Island,80000000,128012934,299461782
474,37967,Something's Gotta Give,80000000,124685242,266685242
